Country,Date,Cases
China,	06-Oct,	85482
China,	07-Oct,	85489
China,	08-Oct,	85500
China,	09-Oct,	85521
China,	10-Oct,	85536
China,	11-Oct,	85557
China,	12-Oct,	85578
China,	13-Oct,	85598
India,	06-Oct,	6754179
India,	07-Oct,	6832988
India,	08-Oct,	6903812
India,	09-Oct,	6977008
India,	10-Oct,	7051543
India,	11-Oct,	7119300
India,	12-Oct,	7173565
India,	13-Oct,	7237082
Italy,	06-Oct,	330262
Italy,	07-Oct,	333940
Italy,	08-Oct,	338398
Italy,	09-Oct,	343770
Italy,	10-Oct,	349494
Italy,	11-Oct,	354950
Italy,	12-Oct,	359566
Italy,	13-Oct,	365467
Japan,	06-Oct,	86506
Japan,	07-Oct,	87014
Japan,	08-Oct,	87641
Japan,	09-Oct,	88244
Japan,	10-Oct,	88925
Japan,	11-Oct,	89363
Japan,	12-Oct,	89341
Japan,	13-Oct,	90412
Russia,	06-Oct,	1237504
Russia,	07-Oct,	1248619
Russia,	08-Oct,	1260112
Russia,	09-Oct,	1272238
Russia,	10-Oct,	1285084
Russia,	11-Oct,	1298718
Russia,	12-Oct,	1312310
Russia,	13-Oct,	1340409
United States Of America,	06-Oct,	7728521
United States Of America,	07-Oct,	777889
United States Of America,	08-Oct,	7835192
United States Of America,	09-Oct,	7896187
United States Of America,	10-Oct,	7950197
United States Of America,	11-Oct,	7992703
United States Of America,	12-Oct,	8038719
United States Of America,	13-Oct,	8090253
